farm_id,grower_id,farm_nm,stat_cd,country,state_prov,entrpr_guid,crt_dt,upd_dt
50065,20037,Prescott Home Ground,A,United States,Missouri,89e3a49c-93f6-49ec-8c50-e4e34f5afde1,2015-11-01,2025-11-02
50318,20169,Kowalski Prairie Homestead,A,United States,Illinois,874dccb0-293d-4e2a-b167-9c514e0fd407,2010-01-24,2024-03-01
50572,20355,Prescott New Ranch,I,United States,Kansas,0f39b0cf-282b-4bdb-9f28-3f554c444032,2019-09-23,2020-12-16
50051,20031,Reyes Ridge Ranch,A,Canada,Ontario,0e5bcfe2-3d14-4754-902a-c7f9d176d439,2020-03-26,2021-11-08
50378,20203,Boudreau South Place,A,United States,Nebraska,9c80f462-273b-4bf1-880b-a3f2310fcb9a,2021-03-17,2022-07-19
50577,20360,Hartley Old Homestead,I,Canada,Ontario,765bf1c9-fb3e-4cd2-8bca-211d69c33cd7,2012-03-06,
50242,20130,Prescott Valley Homestead,A,United States,South Dakota,355d9880-7187-4468-a2d2-a7925e35e816,2010-02-20,
50558,20341,Albrecht New Section,I,Canada,Ontario,b2ab99b4-857c-49f8-8a50-f702edc6a4b0,2020-03-17,2021-08-17
50447,20253,Nordin Lower Place,A,United States,North Dakota,218d2395-9555-4e4c-a4d2-b684436dc581,2010-05-22,2014-11-05
50153,20082,Lockhart South Section,A,United States,Wisconsin,7ae7a2eb-9794-40b4-b805-df62be9724cb,2015-02-24,2016-06-25
50198,20104,Okafor South Ranch,A,United States,North Dakota,7605edea-86c0-4764-b351-c0868a2152cd,2017-03-03,
50263,20140,Yoder Old Farm,A,United States,Minnesota,db88d6bd-31b3-401f-8473-51361a8cf201,2021-12-14,2024-03-05
50549,20332,Brenner Creek Homestead,A,United States,Kansas,b4749688-5a2d-4549-8b82-628f4936046d,2015-11-18,
50540,20323,Yancey West Ground,A,Canada,Alberta,2fdbf07c-dcd0-4fc4-8073-38a2b276c2c1,2016-10-26,
50173,20092,Oberlin Lake Quarter,A,United States,Kansas,db0c1beb-f5bd-4592-a33c-bca27f0e4476,2012-10-11,
50298,20160,Kowalski Old Ranch,A,United States,Kansas,23ce10a7-eda4-480e-9e5e-04b74d9d6ab1,2010-02-13,2021-07-09
50150,20081,Merriweather Valley Section,A,United States,South Dakota,3a87c288-21ce-489f-bdc5-042a05f43913,2014-11-03,2017-11-10
50608,20391,Holloway Ridge Homestead,A,United States,Ohio,28cab878-92a0-4592-91ad-481abe09d023,2016-03-23,
50056,20033,Ashworth Lake Ranch,A,United States,Minnesota,41b59379-f3f5-4c4d-b6d5-beb2cc7144cb,2021-01-21,2022-11-19
50412,20222,Oberlin Old Section,A,United States,Kansas,27ce7c2b-ac9c-412d-b354-e63a32d6a4ec,2014-11-10,2016-02-05
50225,20121,Delacroix Lake Place,A,United States,North Dakota,1e559301-ce05-4d4c-9194-167dd7a3376e,2023-03-10,
50018,20011,Kowalski Creek Ranch,A,United States,Illinois,11c9f8ae-cfe2-4b85-8e3a-9a5490bba23f,2018-09-15,2019-01-29
50114,20063,Hummel Hilltop Place,A,Canada,Alberta,b976f309-34bd-4906-a29b-86521a1a3626,2011-07-14,2026-03-18
50408,20220,Duval New Ranch,A,United States,Kansas,c38eb22d-81ea-4b41-bf49-0daf77d234ea,2012-07-11,
50311,20166,Callahan South Ranch,A,Canada,Saskatchewan,bd9dbb55-2b0a-46e7-935c-d46b87a962dc,2010-11-14,2013-04-01
50325,20173,Duval Creek Ground,A,Canada,Manitoba,f0019ce6-afc0-4475-b279-f0e62595d380,2016-10-02,2023-07-10
50170,20090,Whitaker Creek Homestead,A,United States,Ohio,11c17ad5-e44e-481a-a9f4-a7b6c709d611,2019-05-26,2026-04-06
50596,20379,Boudreau Prairie Ranch,A,Canada,Alberta,1e6f520f-13b7-40c3-b720-7fd6a6ab8ee0,2020-10-19,2024-02-16
50224,20121,Delacroix Prairie Farm,A,United States,North Dakota,e295bbdf-7437-463c-a06f-272c01750591,2020-01-20,2025-02-17
50066,20037,Prescott Lake Ranch,A,United States,Missouri,2b4f6c88-9a0c-46b4-b0ce-dac12dfa7d3c,2014-07-26,2023-04-27
50425,20231,Thompson Lake Farm,A,United States,Indiana,,2020-09-24,2026-05-01
50188,20099,Baxter Lake Section,A,Canada,Alberta,4a089cf4-561e-4189-81e3-f6a0f4a76bad,2016-11-11,2022-09-29
50418,20224,Ivanov Old Farm,A,Canada,Alberta,e8e40945-635d-4f98-a305-a0a127da1f40,2011-11-03,2014-04-10
50427,20233,Steiner Hilltop Farm,A,Canada,Ontario,,2020-02-18,
50097,20053,Tollefson Prairie Farm,A,United States,Ohio,5bfb7790-6a14-42c3-9622-cf82298ec21d,2014-01-22,
50542,20325,Pemberton Valley Section,A,United States,Ohio,01f4b570-733b-470a-b8e7-f7d0810431fe,2020-03-02,2025-09-27
50055,20033,Ashworth Hilltop Homestead,A,United States,Minnesota,bd9216f2-0c32-42b8-bc01-9e7e3be6065f,2010-02-13,2013-12-09
50422,20228,Boudreau Old Section,A,United States,South Dakota,,2010-01-18,2012-08-23
50233,20126,Nordin Home Quarter,A,United States,Wisconsin,b0ca8ecd-3408-4bdb-b797-7538f07520f8,2017-03-01,
50281,20149,Falkner North Farm,A,Canada,Alberta,ef02f496-654c-40fe-8556-4bf34671b825,2011-10-15,2021-10-22
50088,20049,Marsh South Ranch,A,Canada,Saskatchewan,0c14f192-bc10-4bec-98d2-e59b65cd5ac6,2021-05-09,
50386,20207,Marsh Hilltop Quarter,A,United States,North Dakota,1bcebd31-636b-4f15-bfa2-0acc6a327fe4,2021-10-25,2024-02-01
50309,20165,Kowalski Hilltop Homestead,A,Canada,Saskatchewan,ead3b885-85fd-41a7-aa63-08e256ff6334,2016-10-31,2022-10-14
50045,20028,Delacroix Valley Section,A,United States,Illinois,4b6359c8-554c-4ee8-a0f0-4038d66fd737,2012-02-09,2016-05-12
50580,20363,Xiong Valley Quarter,I,Canada,Ontario,af675e20-7102-432a-a493-639496c21dac,2015-06-01,2025-10-28
50181,20096,Bergstrom North Ranch,A,United States,Nebraska,9142d0f4-5a55-4f79-988e-abf354bd544f,2019-03-03,2023-01-15
50348,20184,Girard Old Place,A,United States,Kansas,89a12ba3-b655-40bd-b63b-1ec9dfc09584,2016-02-28,2020-06-27
50287,20153,Novak Ridge Ranch,A,Canada,Alberta,1d5544d2-1e34-4275-a321-1514fa9cdc62,2012-09-13,2019-10-18
50323,20172,Whitaker Lake Section,A,Canada,Saskatchewan,b1b7326e-ad1b-46fc-887b-13b92c2d87cf,2011-04-07,
50502,20296,Okafor South Ground,A,Australia,Victoria,10a3b382-4097-40c4-8177-431f1a0246c6,2023-06-04,2023-10-10
50271,20145,Callahan West Section,A,United States,Iowa,753b3b2e-f457-48b1-b7d8-114c1fd7e852,2011-03-05,2021-06-25
50576,20359,Baxter New Homestead,I,United States,Illinois,dd440823-9a6d-481f-91ab-d42b381a7649,2017-03-11,2018-08-28
50619,20402,Brenner East Homestead,A,Canada,Saskatchewan,3ce9a15d-8b07-4647-9bf1-3fb0330973e0,2010-03-13,
50574,20357,Duval Prairie Ranch,P,United States,Minnesota,96637084-6773-4a58-a6ad-e6464a401db9,2020-11-28,
50219,20118,Ivanov Prairie Ground,A,United States,South Dakota,63b8a670-fb15-47ba-be67-2a09a8772603,2021-04-13,2021-12-04
50501,20295,Quandt Valley Homestead,A,Australia,Victoria,54d09d71-c26a-404a-8648-6bf91db2f269,2011-12-02,2025-05-29
50565,20348,Dietrich Creek Ranch,P,United States,Missouri,9d8cf376-1fc5-452b-a07a-a7130eef798f,2015-08-05,2019-11-09
50260,20138,Pemberton Ridge Farm,A,Canada,Alberta,ec37ab5d-61ec-40a0-a7a0-519e7ec340ed,2021-11-21,
50474,20278,Bergstrom River Section,A,Australia,Western Australia,afa773a5-9b6d-4538-8b80-d4e6d1b5ef73,2015-05-13,
50094,20052,Brenner Lake Farm,A,United States,Wisconsin,6a229119-8e7b-4b5a-b1c2-09a7d5454eb1,2021-07-28,2025-10-20
50313,20167,Hartley Ridge Ground,A,Canada,Manitoba,626a2a11-5ece-432b-933b-075def5e290d,2022-07-11,2023-01-12
50060,20035,Castellano Lake Ground,A,United States,Ohio,5813502e-38fa-412e-9724-5feb58933436,2019-06-15,2021-07-01
50494,20291,Dietrich Old Quarter,A,Australia,Western Australia,4ab5e2c6-6e3e-45f6-a988-ac3c29be9d23,2011-05-03,2025-10-23
50054,20032,Winters Valley Homestead,A,United States,Wisconsin,ddb692ed-65c3-47cc-b247-20bfb4f81b30,2017-01-17,2018-04-23
50352,20187,Underhill River Section,A,United States,Ohio,3c0fe544-af9d-40f4-90ea-2d953ea418ee,2022-09-05,
50615,20398,Tollefson Hilltop Ground,A,Australia,Western Australia,eca8e544-9374-4e03-bdd3-8d153649f406,2023-11-14,
50035,20022,Okafor Lower Place,A,United States,Missouri,f13b83ca-8c3b-46f6-9807-b5248afc1aa5,2019-09-03,
50467,20273,Girard Creek Homestead,A,Australia,Western Australia,ad920813-ad1a-4d42-a18e-c56c1e9454c9,2022-05-24,2025-05-11
50430,20236,Yoder Ridge Place,A,United States,Kansas,,2020-01-03,2022-03-29
50326,20174,Winters Lower Place,A,United States,Wisconsin,59f485bc-6cd7-4703-8c38-a46b731c5770,2021-05-08,2024-11-11
50017,20011,Kowalski Prairie Place,A,United States,Illinois,4456a691-003d-4268-aa03-d5471e8acb81,2021-12-06,2025-12-19
50247,20133,Pemberton East Quarter,A,United States,Nebraska,9ddb644f-2bd2-43e1-b7e8-58bf0bd69efc,2023-03-18,2026-02-07
50616,20399,McAllister South Place,A,United States,Wisconsin,5e40649d-1a81-4bbd-9bf4-f6086ddef3a2,2023-03-24,2025-01-15
50200,20106,Girard Prairie Ranch,A,Canada,Ontario,e67ea894-1e2b-454e-9bbb-5af1fbfe1683,2010-05-15,2013-03-08
50512,20302,Ashworth East Homestead,A,Australia,Queensland,bbef9be0-9e91-4572-9acf-020f3e27df10,2016-01-07,2020-11-02
50083,20047,Quandt East Section,A,Canada,Ontario,50a2e875-6231-47c1-b32a-cf694ed17149,2011-04-16,2020-11-21
50415,20223,Boudreau Lower Homestead,A,United States,Indiana,2723566c-208f-409f-a7ac-9c07d88721fb,2020-01-27,2021-04-01
50546,20329,Winters Old Quarter,A,United States,Indiana,c7cd8f4c-6069-4bf9-b5f2-d6683774587f,2020-02-11,2021-05-31
50420,20226,Ferreira North Section,A,United States,South Dakota,5934b67f-872c-4d32-9794-2d8f6ed7a452,2020-07-03,2023-05-24
50259,20138,Pemberton Lower Farm,A,Canada,Alberta,0f8f7b2e-98a3-41b8-82e9-39a359ee24f0,2019-12-31,2024-10-01
50414,20223,Boudreau Prairie Section,A,United States,Indiana,6e81327d-b826-4c47-bbf1-e18da0a24ae4,2010-09-04,2022-04-14
50341,20181,Castellano Upper Farm,A,Canada,Saskatchewan,83912291-da30-455e-ba91-964a483a67cf,2020-08-13,
50532,20315,Yoder East Ground,A,United States,Missouri,c2ac644d-cb0e-409e-8313-81177ea62d47,2021-07-29,2025-05-18
50476,20280,Crenshaw Old Ground,A,Australia,Victoria,5acbf432-a843-4828-b72a-6a5b1d2821d1,2019-04-21,2025-11-26
50487,20286,Dietrich Creek Ground,A,Australia,New South Wales,bdf68c73-845d-476b-819e-f0f293d034fb,2019-04-21,2020-10-17
50504,20297,Xiong Old Ground,A,Australia,Queensland,b52f6546-65aa-4ba2-b7bc-2563f972757a,2011-05-30,2026-04-14
50441,20247,Thompson New Homestead,A,Canada,Alberta,e08b825c-909b-4a5d-83b4-1207f1627068,2016-06-07,2022-01-15
50108,20060,Baxter Home Place,A,Canada,Saskatchewan,e8a72960-fad9-4215-949e-30df3869012a,2012-11-13,2013-04-13
50167,20089,Duval Ridge Ranch,A,Canada,Manitoba,56e5ed5c-d11b-4db9-a053-050ff583c3e9,2017-01-28,2018-06-11
50479,20281,Drummond Home Quarter,A,Australia,New South Wales,e1c74a9a-ef03-421e-8ed9-d3b10fe4290c,2017-03-21,
50395,20212,Reyes Upper Place,A,United States,North Dakota,3bfc90b4-80a6-4d3b-8cdc-a888402eb9a0,2015-03-17,
50495,20291,Dietrich Lower Ranch,A,Australia,Western Australia,a4ec514f-bb92-4e5c-b981-4e9df2dad21b,2010-06-03,
50125,20068,Yoder Home Ranch,A,Canada,Saskatchewan,dccfa886-b8a0-43d7-9436-35093c7880f0,2010-09-06,2023-03-01
50552,20335,Jablonski Hilltop Ground,P,United States,Kansas,965d0cbb-d519-47e1-aaf4-601472540e99,2015-01-26,2019-09-25
50010,20007,Tollefson Hilltop Section,A,Canada,Alberta,af99a9e3-82f0-42d1-8542-f8313c9a663b,2023-04-02,2026-01-24
50336,20179,Rasmussen Hilltop Quarter,A,Canada,Manitoba,4b9b83cb-c630-4f49-ab66-77e834e8ae0b,2022-08-31,2025-10-15
50598,20381,Delacroix Creek Ground,A,United States,North Dakota,c4450280-4c63-476b-82f9-15b0faf26f83,2019-05-21,2021-11-29
50407,20220,Duval River Section,A,United States,Kansas,99daaf48-ec8e-4b1b-9fec-219f510f4cfb,2023-11-25,
50444,20250,Lindqvist Home Homestead,A,United States,Ohio,656b212a-2de2-488d-b7e0-32ccc6a15bbc,2015-01-02,
50515,20304,Pemberton West Section,A,Australia,New South Wales,e34af8bd-f89b-458b-9b68-a14d6218281a,2012-02-21,
50162,20086,Reyes New Section,A,United States,Nebraska,28040f6c-5895-4a0c-82d7-470fdcd3e270,2011-12-08,
50480,20282,Holloway New Quarter,A,Australia,Western Australia,6652f990-67b4-4940-94a2-284ce000bf06,2020-08-29,2024-03-09
50389,20209,Ferreira Creek Ground,A,United States,Indiana,941e274d-8eaf-4922-a089-576b1847b209,2018-07-19,2023-11-16
50090,20050,Baxter Old Place,A,United States,Wisconsin,e1ba3a30-e3df-4d01-b7df-4b7f3c5258ea,2023-11-20,2025-07-14
50070,20039,Dietrich Valley Homestead,A,United States,Indiana,f56279d7-5b78-4a7a-ad0c-42aa90ff2f36,2020-06-09,
50486,20285,Marsh Valley Quarter,A,Australia,Western Australia,6ee52af2-04be-4895-bb29-7882e2734847,2021-11-05,2024-09-27
50034,20021,Kowalski Lake Section,A,United States,South Dakota,999e114d-70e3-4793-8baf-090b88a69cd4,2013-10-29,2016-11-15
50113,20062,Reyes Hilltop Section,A,Canada,Alberta,79643ae8-31a8-45b5-b79c-8b6f49e01501,2020-01-27,2020-09-13
50179,20096,Bergstrom South Farm,A,United States,Nebraska,762e3a24-582a-4889-a423-01c6da75bc0b,2021-09-17,2023-11-08
50356,20190,Yancey Old Ground,A,Canada,Alberta,0417d198-059b-48cb-a847-1153c725a558,2011-10-05,
50241,20129,Quandt South Quarter,A,United States,North Dakota,0c4f406b-7ac9-4427-a315-b875f8aa8365,2018-08-02,2023-01-19
50256,20137,Jablonski West Place,A,United States,Ohio,3792af1e-fb2b-48dd-8f7a-fd6892c32183,2017-07-14,2019-01-11
50248,20133,Pemberton Lower Ranch,A,United States,Nebraska,fa104a11-49d3-4d5a-bffa-d3af07d2694d,2010-10-24,2012-06-30
50138,20075,Brenner Lake Ranch,A,Canada,Ontario,bc09c9ec-3443-457b-87d5-e8b82667dc20,2013-02-21,
50610,20393,Boudreau Upper Section,A,United States,Missouri,b8b75d4f-37e9-45a7-9e81-33d1941071c3,2018-08-21,2024-07-25
50039,20024,Merriweather River Section,A,United States,Illinois,779ec36f-5b3c-4c05-aa20-29c0ec0de3c4,2019-03-27,2025-08-05
50587,20370,Lockhart South Place,I,United States,Ohio,0bafde97-ef29-42a8-82cb-50a244ea996b,2012-07-02,2025-08-25
50346,20183,Pemberton East Section,A,United States,Wisconsin,af5a657e-ec90-4914-89fd-2711d39db4e5,2013-12-04,
50380,20204,Oberlin Hilltop Ranch,A,United States,Illinois,5ad07c3e-0f78-4911-942f-9d44b3219c22,2022-04-21,2023-10-19
50575,20358,Yoder Lower Homestead,I,United States,North Dakota,0b6a2be4-8280-4631-81e8-f75a2ca4419f,2021-10-30,2025-03-21
50042,20026,Hartley Ridge Quarter,A,United States,Indiana,0e958c50-8e30-4c46-9a7e-6cd7cf1145db,2013-10-01,
50559,20342,Girard West Farm,I,United States,Minnesota,0741d94e-1e4b-43f2-b745-0d7f97090b85,2021-12-25,
50140,20076,McAllister Ridge Quarter,A,United States,South Dakota,1f461703-2cf0-43a6-a701-ce426a01cc8a,2018-07-22,2019-05-15
50158,20085,Kowalski Upper Homestead,A,United States,Indiana,cc5dec7c-f030-45db-a61f-c357b466b2fd,2021-07-24,2022-03-19
50252,20135,Holloway South Quarter,A,United States,Missouri,2bf79411-5f81-42b8-b01c-892629cb96c2,2023-11-01,2024-11-25
50124,20067,Ferreira Lower Ranch,A,United States,Ohio,87effa49-7ae2-4284-ac1a-6acc5cd89416,2022-04-19,2025-08-22
50189,20099,Baxter Valley Quarter,A,Canada,Alberta,0dab1bfa-3b3e-4246-95f2-4323a93bef8d,2013-12-30,2015-11-28
50231,20125,Castellano New Section,A,United States,Missouri,27c8cd1d-f893-4ccb-b66a-0d780e459a9a,2021-07-24,
50082,20046,Winters South Section,A,United States,Wisconsin,3652969b-b704-44af-b492-f0889b66b0e2,2022-04-13,2024-08-29
50314,20167,Hartley Creek Homestead,A,Canada,Manitoba,60ceb63f-a16e-4b89-bf48-0a8c98ef0591,2017-06-29,2018-06-09
50403,20217,Merriweather Lower Homestead,A,United States,Missouri,44710c06-384b-4bda-b69a-5959bb77cc7c,2017-06-12,2020-11-16
50339,20180,Underhill West Ground,A,Canada,Manitoba,b6222f46-f7a5-4a25-a422-6bcc947f4230,2012-04-12,
50566,20349,Tollefson East Quarter,I,Canada,Ontario,844f2ab5-4044-495d-9620-957d4c1f6de6,2015-10-18,
50239,20128,Hummel Home Ranch,A,United States,Indiana,b107ad83-cb40-436f-af2d-dcaf14edfe5f,2019-08-19,2024-11-30
50168,20089,Duval Home Ground,A,Canada,Manitoba,1c2f2310-44f4-4e86-a6f4-3bd324338d62,2013-03-13,2023-07-23
50365,20195,Falkner Creek Homestead,A,United States,Kansas,f4620697-754b-4dd4-a465-0c4a93a269c0,2012-05-20,2013-02-06
50592,20375,Hummel Upper Homestead,I,United States,North Dakota,cad15d1d-783c-4bf7-8fa6-6446d7872f27,2020-03-07,2024-05-19
50015,20010,Iverson River Ground,A,United States,Iowa,9b487167-3618-48a2-9aff-aeb313d4be26,2023-02-04,2026-05-05
50355,20189,Brenner Home Ground,A,United States,Nebraska,e9079f59-421c-4c5f-9bed-59d3ec85e874,2018-06-14,2020-07-07
50573,20356,Jablonski Lake Farm,I,United States,South Dakota,47f0842f-7a9b-4ddd-bad6-395f1d9ee502,2015-11-28,2022-09-17
50438,20244,Thompson East Ranch,A,United States,Illinois,f4994f19-27cd-4958-a6df-f30dc5101f02,2023-10-29,
50433,20239,Prescott New Ground,A,Canada,Ontario,90074211-92fa-4cb6-ac52-c120af87ed66,2020-01-31,
50485,20284,Prescott River Ground,A,Australia,Queensland,afee5aef-7968-4b78-8e8a-075d7b18c81a,2017-05-06,2017-11-09
50421,20227,Xiong Upper Quarter,A,United States,Wisconsin,3558e2b0-b2f8-4ca1-8836-80f85f8a6ea5,2023-06-21,2025-10-10
50312,20166,Callahan South Place,A,Canada,Saskatchewan,31641ce1-94e2-4b39-947a-d0325900c208,2010-12-24,
50102,20055,Dietrich Lake Quarter,A,United States,Nebraska,98bbcf35-27d8-48a2-98db-776294943084,2011-09-30,2015-08-11
50528,20311,Novak East Quarter,A,United States,South Dakota,3f231a60-b7d9-4160-b878-eb314987fee4,2019-06-20,2019-10-06
50003,20003,Bergstrom Ridge Ranch,A,United States,Iowa,f9b9c304-52d9-4a1a-9feb-2d166ea3271c,2015-11-20,2026-04-25
50514,20303,Vandermeer West Ground,A,Australia,Western Australia,dfdc8435-d27d-4088-b0ef-4b75d75a0a03,2018-01-04,2026-04-23
50132,20072,Iverson North Place,A,United States,Ohio,36f00511-3c23-47ca-a338-0f371759f542,2020-04-07,2024-05-09
50618,20401,Ivanov Valley Section,A,United States,Indiana,3099124e-59bb-4ec1-9749-4aa18a8a0c03,2023-08-15,2024-06-26
50498,20293,Falkner Upper Homestead,A,Australia,Victoria,95f186d4-c867-466d-af5d-9eac3e3d323b,2022-09-08,2025-12-19
50203,20107,Callahan River Ranch,A,Canada,Manitoba,c86a72d9-aa56-41b9-8b0e-15994d98f10e,2018-07-13,2022-11-09
50337,20179,Rasmussen New Section,A,Canada,Manitoba,e9d2df1b-1d4c-4dfb-9045-4f6c53b07052,2013-11-26,
50036,20022,Okafor West Ranch,A,United States,Missouri,f51e4802-d5d9-4669-a6d9-2810c9d48943,2023-01-21,2025-12-10
