FARM_ID,PARTNER_ID,FARM_DESC,LAND1,REGIO,ZZSTAT,LOEVM,ZZEID,ERDAT
0002000638,0001000409,VANDERMEER EAST PLACE,US,IN,02,,6AEF0BD2-2186-4C9F-AB15-F8E89A1B64E6,2009-03-11
0002000034,0001000021,KOWALSKI LAKE SECTION,US,MN,02,,999E114D-70E3-4793-8BAF-090B88A69CD4,2017-07-04
0002000429,0001000231,XIONG NORTH SECTION,US,IL,02,,3DFBB2AD-03E6-4463-946F-F6922BCB7E3D,2010-09-30
0002000137,0001000074,MERRIWEATHER NEW RANCH,CA,AB,02,,8CA8A35E-798A-400C-AD89-6F9FBA259432,2022-12-20
0002000108,0001000060,BAXTER HOME PLACE,CA,MB,02,,E8A72960-FAD9-4215-949E-30DF3869012A,2023-01-09
0002000201,0001000106,GIRARD PRAIRIE SECTION,CA,ON,02,,E03FFC6E-5DD6-4B02-A311-22EE7B08D8F6,2019-12-03
0002000215,0001000116,RASMUSSEN CREEK HOMESTEAD,CA,AB,02,,BED14D60-9309-4096-9C6D-77E259A7BE94,2018-01-03
0002000377,0001000200,UNDERHILL LAKE GROUND,CA,MB,02,,88D86966-639E-442F-B184-85B31532746E,2015-10-09
0002000145,0001000079,BOUDREAU OLD SECTION,US,MO,02,,464024FE-BCAE-4B67-AF19-0CCC68F98B5F,2010-09-04
0002000530,0001000308,OKAFOR RIDGE HOMESTEAD,BR,PR,02,,C667B0E9-CE0C-489F-80FB-55E87155E833,2016-01-30
0002000584,0001000355,BOUDREAU LAKE GROUND,CA,MB,03,,C487BF32-63FF-42BE-85DB-4EAA9D7A3380,2023-10-12
0002000062,0001000036,BERGSTROM UPPER HOMESTEAD,CA,ON,02,,4157CF6C-7ABA-4E09-8450-53262F9B2A2A,2017-05-10
0002000654,0001000425,DIETRICH RIVER PLACE,US,ND,02,,CA564321-62AF-46C1-BE4A-10BC1C271274,2013-01-23
0002000453,0001000244,OKAFOR PRAIRIE SECTION,US,WI,02,,958447B5-E8AD-4FDE-AF72-DC33CED91D0C,2010-09-25
0002000499,0001000283,KERRIGAN HOME GROUND,US,IN,02,,6F3F3F0A-3098-4623-A768-3760578A7CC2,2010-01-06
0002000109,0001000060,BAXTER LAKE FARM,CA,MB,02,,C16D8734-74F9-4144-AC19-DB4E30D9718E,2024-04-19
0002000417,0001000224,CRENSHAW WEST GROUND,US,WI,02,,72F5CF66-D17A-4388-A5E9-9F47D4A0E463,2009-09-08
0002000211,0001000113,WHITAKER OLD GROUND,US,KS,02,,B334B0F7-5913-4282-9330-204A11C09045,2015-06-23
0002000161,0001000086,REYES LAKE GROUND,US,SD,02,,3B9E6559-D132-40A3-AD92-60A3E0D9874F,2014-07-16
0002000309,0001000164,HARTLEY WEST GROUND,US,IA,02,,4D2CFF10-0639-4D9F-9A85-1FF845C4DDDC,2016-07-12
0002000305,0001000161,PRESCOTT OLD QUARTER,US,WI,02,,316CCF49-3C24-446D-996B-F9A772C0BEF2,2011-06-19
0002000485,0001000269,XIONG WEST PLACE,US,OH,02,,EC83A932-4DDD-497F-BD8C-A59EF9F64422,2023-05-23
0002000415,0001000223,LOCKHART UPPER GROUND,US,KS,02,,1B787E0A-79D8-41E1-9F52-5E23D6CB94D6,2023-04-10
0002000174,0001000093,LOCKHART LAKE QUARTER,US,SD,02,,40BDBEB2-EF2D-419F-9025-BE870EF9A605,2012-03-05
0002000646,0001000417,EASTMAN NORTH GROUND,US,IN,02,,77306622-3BDB-4CF1-8964-4CFEC8543FF3,2019-09-14
0002000149,0001000081,MERRIWEATHER UPPER FARM,US,IL,02,,44FB6F4C-9E78-4F4C-8FC4-90E95EC5200E,2017-09-05
0002000382,0001000202,CRENSHAW PRAIRIE FARM,US,MO,02,,AA322ECD-2562-4410-8A0E-54824D4BA2C3,2020-12-29
0002000404,0001000216,MCALLISTER CREEK GROUND,US,MN,02,,2067FD50-FBF3-41D8-B391-268194E0580E,2017-10-02
0002000033,0001000020,CALLAHAN PRAIRIE FARM,CA,MB,02,,C4E5E0B4-41DE-4E11-95B8-DB328FB74D53,2015-04-06
0002000207,0001000110,RASMUSSEN HOME SECTION,CA,ON,02,,82D84211-C539-4DE3-9C42-D0086A89FDBC,2021-12-13
0002000358,0001000191,ZIEGLER UPPER FARM,US,NE,02,,EED3F56C-466E-48DF-8121-EC5FD41DEDDE,2012-03-03
0002000361,0001000192,WHITAKER UPPER PLACE,CA,MB,02,,9618D435-78F8-4E0C-8224-CD065C029548,2017-09-15
0002000378,0001000201,CASTELLANO UPPER FARM,CA,MB,02,,83912291-DA30-455E-BA91-964A483A67CF,2009-03-08
0002000462,0001000249,IVERSON VALLEY PLACE,US,SD,02,,D3401588-BCA8-498F-A37A-A2DE464D9C46,2016-02-13
0002000351,0001000187,HARTLEY CREEK HOMESTEAD,CA,SK,02,,60CEB63F-A16E-4B89-BF48-0A8C98EF0591,2014-01-29
0002000634,0001000405,DELACROIX CREEK GROUND,US,WI,02,,C4450280-4C63-476B-82F9-15B0FAF26F83,2015-01-25
0002000094,0001000052,BRENNER LAKE FARM,US,ND,02,,6A229119-8E7B-4B5A-B1C2-09A7D5454EB1,2009-06-27
0002000451,0001000242,WHITAKER VALLEY RANCH,US,ND,02,,334129C3-0824-48CF-9E12-2151D7486185,2015-03-15
0002000118,0001000064,DUVAL NEW RANCH,US,WI,02,,AD875E77-4A28-4087-A2A1-B2BE19353F49,2022-07-04
0002000200,0001000106,GIRARD PRAIRIE RANCH,CA,ON,02,,E67EA894-1E2B-454E-9BBB-5AF1FBFE1683,2010-07-20
0002000360,0001000192,WHITAKER LAKE SECTION,CA,MB,02,,B1B7326E-AD1B-46FC-887B-13B92C2D87CF,2021-04-24
0002000075,0001000043,IVERSON CREEK QUARTER,US,MO,02,,28361D82-DBAD-42F2-BB19-13ABCE47AD99,2024-07-30
0002000168,0001000089,DUVAL HOME GROUND,CA,AB,02,,1C2F2310-44F4-4E86-A6F4-3BD324338D62,2022-02-08
0002000446,0001000239,ASHWORTH OLD HOMESTEAD,US,MO,02,,DAE5A544-05C6-4261-BECF-B926C42BF0C3,2014-01-23
0002000496,0001000280,NORDIN LOWER PLACE,US,KS,02,,218D2395-9555-4E4C-A4D2-B684436DC581,2012-06-16
0002000284,0001000151,BERGSTROM HILLTOP GROUND,US,IA,02,,B0463C5B-DA94-46A0-B9EB-564DAFB08C7C,2017-07-10
0002000223,0001000120,DRUMMOND UPPER QUARTER,US,ND,02,,B57BE7E1-D17E-407A-A734-6538B2C845EE,2015-08-07
0002000515,0001000298,LINDQVIST RIVER PLACE,BR,MT,02,,85C9AC9E-5D55-429E-BF04-495BC6A105C1,2022-08-20
0002000129,0001000070,CRENSHAW NEW GROUND,US,WI,02,,0E3910B9-88CD-4F6C-96B4-F40830B27B6C,2013-03-01
0002000072,0001000041,KERRIGAN RIVER SECTION,US,SD,02,,9E5066FE-55F6-450D-B5EC-E1930CD0FC8B,2022-07-21
0002000345,0001000184,BAXTER LOWER FARM,US,IA,02,,670D430B-595A-49B7-8650-EEB5572FD7EB,2021-01-11
0002000213,0001000114,FERREIRA LOWER SECTION,US,NE,02,,2D224433-08A3-4A38-97EA-38E63E8F79BA,2019-11-06
0002000318,0001000169,JABLONSKI LAKE GROUND,US,IA,02,,3EA4E386-F68D-4768-8D89-EB98B19B460D,2021-10-08
0002000495,0001000279,NORDIN HILLTOP FARM,US,ND,02,,967190C1-D26A-4135-974A-B8E33ABCAD07,2023-06-07
0002000548,0001000319,RASMUSSEN RIDGE PLACE,BR,RS,02,,41B39E4F-5852-4219-AF75-F9653B9AD58A,2013-08-20
0002000367,0001000196,ALBRECHT HOME FARM,US,WI,02,,2EA06EE0-390C-4819-B257-D7E89B33C53D,2014-03-04
0002000564,0001000335,YANCEY CREEK GROUND,CA,AB,02,,7FE78C25-44D4-47FA-9A9A-C38005CAA609,2014-02-25
0002000604,0001000375,FALKNER CREEK QUARTER,US,SD,02,,F480E671-EB09-43A0-BE4F-71510CA43660,2019-06-11
0002000059,0001000034,DUVAL HOME PLACE,US,MN,02,,B6665A7E-CD2B-486B-B5EC-F7C65AEE81FB,2017-07-12
0002000386,0001000205,GIRARD VALLEY QUARTER,CA,AB,02,,E3C5FA7E-64CC-49FF-8911-5C5ED84CF589,2012-07-22
0002000278,0001000148,FALKNER EAST GROUND,CA,MB,02,,22706786-2122-4CF0-9A1E-7B89AFD5B163,2013-09-06
0002000547,0001000318,IVERSON NEW GROUND,BR,RS,02,,89D172D0-B927-40B2-8FBA-9DD14D9D2E5E,2009-06-13
0002000003,0001000003,BERGSTROM RIDGE RANCH,US,WI,02,,F9B9C304-52D9-4A1A-9FEB-2D166EA3271C,2014-08-23
0002000559,0001000330,QUANDT EAST GROUND,CA,AB,02,,4C86284D-C134-4E51-AE52-DAABD187760A,2010-05-04
0002000302,0001000159,REYES NEW QUARTER,US,IA,02,,A9001951-E1B1-4100-BEF2-8C9167FFB986,2022-08-18
0002000220,0001000118,IVANOV LOWER QUARTER,US,MN,02,,92D44EDA-4A29-4ADB-AC6F-18F0F7065709,2014-02-02
0002000539,0001000314,CRENSHAW NORTH FARM,BR,RS,02,,5BE87A30-ED7B-44F3-84D0-36D46D9015DB,2023-02-10
0002000492,0001000276,HUMMEL UPPER GROUND,CA,ON,02,,5C2D0A81-5D69-437F-BAAF-89420F6F6EC6,2011-01-23
0002000053,0001000032,WINTERS LOWER PLACE,US,MO,02,,4B58FE1D-36EA-46C4-B817-CDA4DF89ED8E,2021-06-22
0002000010,0001000007,TOLLEFSON HILLTOP SECTION,CA,AB,02,,AF99A9E3-82F0-42D1-8542-F8313C9A663B,2022-08-12
0002000443,0001000237,MARSH UPPER GROUND,CA,SK,02,,F6F4BD48-8C8D-48FA-BA19-45DADEF1C233,2011-11-22
0002000130,0001000070,CRENSHAW LAKE HOMESTEAD,US,WI,02,,8580A5E6-C5DB-4B7F-9063-D7B378088942,2011-03-11
0002000092,0001000051,CASTELLANO LOWER GROUND,US,MO,02,,6A94962A-B8A0-4054-901F-9DA3D4FD3CD1,2013-07-09
0002000209,0001000111,THOMPSON HOME SECTION,CA,MB,02,,69BEF239-4A2F-46B2-A6BF-C26124B2C16C,2010-02-16
0002000592,0001000363,IVERSON PRAIRIE GROUND,CA,SK,03,,B5C09987-1154-4A40-AD47-EA8832F7DFBA,2010-10-11
0002000258,0001000138,PEMBERTON LOWER HOMESTEAD,CA,MB,02,,726F4AA9-ED74-448D-AA3A-917A0E7AAC8C,2014-11-04
0002000098,0001000054,EASTMAN LAKE GROUND,US,WI,02,,6FB5A0C5-47BD-40E4-B189-C155144777FF,2024-12-04
0002000647,0001000418,IVERSON EAST GROUND,US,MN,02,,344CAE1E-DEFF-439B-B01E-9BE5A6FA9BDB,2019-02-08
0002000245,0001000132,PEMBERTON VALLEY PLACE,US,NE,02,,367A9749-0334-45B8-B21B-030053766469,2016-01-25
0002000128,0001000069,HOLLOWAY HILLTOP SECTION,US,MN,02,,55BDCB1D-930C-4BA2-A06B-EFA9327C8224,2022-09-18
0002000127,0001000069,HOLLOWAY HOME PLACE,US,MN,02,,239DD57E-99D1-49E6-A6B8-9C3B2D640C8A,2022-03-16
0002000526,0001000305,YANCEY EAST HOMESTEAD,BR,GO,02,,687AB644-4AE7-4595-950F-BB6269F8D6B9,2017-01-29
0002000460,0001000248,BAXTER WEST HOMESTEAD,US,IA,02,,8B0B66F4-1B4B-4488-9705-C085FE5AD5E0,2010-07-20
0002000418,0001000224,CRENSHAW VALLEY SECTION,US,WI,02,,FCE44885-7B42-4F56-A062-8448CADA90D8,2021-08-16
0002000055,0001000033,ASHWORTH HILLTOP HOMESTEAD,US,IN,02,,BD9216F2-0C32-42B8-BC01-9E7E3BE6065F,2014-11-16
0002000553,0001000324,HOLLOWAY SOUTH RANCH,US,IL,02,,82CE2EFA-A5DE-4232-9E4D-1F2F6F0A002F,2024-01-27
0002000560,0001000331,THOMPSON NEW HOMESTEAD,CA,AB,02,,AF78F978-7F84-45A7-9EE5-218548197430,2017-02-06
0002000650,0001000421,YODER SOUTH GROUND,US,MO,02,,739895D0-0E6E-4626-868B-4A3B5FD69A02,2011-11-19
0002000369,0001000197,WINTERS VALLEY HOMESTEAD,US,ND,02,,F40B7C1D-9B59-4F91-B41E-50827668C0E7,2020-07-18
0002000644,0001000415,HOLLOWAY RIDGE HOMESTEAD,US,KS,02,,28CAB878-92A0-4592-91AD-481ABE09D023,2013-06-15
0002000618,0001000389,ALBRECHT CREEK GROUND,US,OH,02,X,61F3794C-0D32-4CBA-9049-56A929B223F3,2010-05-27
0002000178,0001000095,LINDQVIST LAKE PLACE,CA,ON,02,,4F153991-79D5-4C50-8161-BC31D70672CC,2022-05-21
0002000529,0001000307,BAXTER VALLEY SECTION,BR,RS,02,,56259E26-35E7-45A5-8611-DE79F10D7A36,2016-08-02
0002000469,0001000253,THOMPSON LAKE SECTION,US,MN,02,,9D5F2636-8977-44EA-80AE-8A3B56362BC5,2011-10-01
0002000167,0001000089,DUVAL RIDGE RANCH,CA,AB,02,,56E5ED5C-D11B-4DB9-A053-050FF583C3E9,2014-04-23
0002000186,0001000098,EASTMAN RIVER GROUND,US,KS,02,,9F36A660-25ED-48CC-BC13-B29787DC0DB5,2013-02-04
0002000621,0001000392,MERRIWEATHER EAST SECTION,US,IL,02,X,4A138736-0200-4402-B31A-F5A1A392AA49,2010-04-02
0002000435,0001000233,MERRIWEATHER LOWER FARM,US,OH,02,,CF39F90C-806A-491F-B141-311F9233DC2B,2024-09-09
0002000316,0001000168,DRUMMOND NORTH SECTION,US,MN,02,,1D70708C-F567-476F-84E9-D90AEEA373F0,2023-12-22
0002000117,0001000064,DUVAL LAKE PLACE,US,WI,02,,47DED357-0824-4A60-8C61-DFC4539DBC3D,2024-05-19
0002000037,0001000023,VANDERMEER LOWER GROUND,CA,MB,02,,7C8A4821-DF9E-44D4-92A6-22BE8CE28D0F,2022-07-04
0002000267,0001000142,DIETRICH WEST PLACE,US,ND,02,,E8DD3339-969A-4072-8091-8C5BA4DB92E1,2020-07-19
0002000089,0001000049,MARSH VALLEY RANCH,CA,MB,02,,9205E804-C1B2-49B9-B932-3BD976F51067,2020-12-06
0002000477,0001000261,XIONG NORTH PLACE,US,MN,02,,37610786-3D20-4684-B385-9E5B75E07521,2011-10-10
0002000292,0001000155,NORDIN HILLTOP GROUND,CA,MB,02,,77BCEE12-0922-4857-B851-D88104BC9510,2021-10-10
0002000219,0001000118,IVANOV PRAIRIE GROUND,US,MN,02,,63B8A670-FB15-47BA-BE67-2A09A8772603,2017-01-25
0002000247,0001000133,PEMBERTON EAST QUARTER,US,MO,02,,9DDB644F-2BD2-43E1-B7E8-58BF0BD69EFC,2011-12-16
0002000008,0001000006,HUMMEL SOUTH GROUND,CA,MB,02,,A6D80F79-957B-4511-81BA-6C61F1253FBD,2019-07-19
0002000486,0001000270,BAXTER SOUTH SECTION,CA,MB,02,,87C8CDDB-008E-40C1-A249-1B9D30473424,2010-06-19
0002000362,0001000193,DUVAL CREEK GROUND,CA,MB,02,,F0019CE6-AFC0-4475-B279-F0E62595D380,2015-07-21
0002000586,0001000357,HUMMEL RIVER RANCH,CA,MB,03,,DB16A9D1-A3F7-4B33-A7C9-D5F5A65DC2FC,2012-09-22
0002000452,0001000243,FALKNER WEST HOMESTEAD,US,IL,02,,ECD71FAC-D9E8-4873-970E-4D969B0623EE,2011-04-17
0002000096,0001000053,TOLLEFSON NEW SECTION,US,WI,02,,389E931C-751A-4C4E-9035-65AEBF50B04B,2018-11-24
0002000082,0001000046,WINTERS SOUTH SECTION,US,MN,02,,3652969B-B704-44AF-B492-F0889B66B0E2,2010-08-07
0002000152,0001000082,LOCKHART PRAIRIE HOMESTEAD,US,IN,02,,ECFBFB70-AF6F-46DC-B6F0-2A2FF93B76F9,2017-01-22
0002000035,0001000022,OKAFOR LOWER PLACE,US,IL,02,,F13B83CA-8C3B-46F6-9807-B5248AFC1AA5,2023-06-29
0002000026,0001000015,BERGSTROM OLD HOMESTEAD,US,MN,02,,0C3D09D9-B6DB-4FC2-86B0-B898F11D0D00,2021-12-01
0002000541,0001000315,LOCKHART NORTH RANCH,BR,GO,02,,DAB2CA7D-735A-4F50-AB2E-A8599BE31A2D,2017-01-18
0002000532,0001000309,CALLAHAN VALLEY SECTION,BR,MT,02,,9A0C895B-ECE3-4D64-88DF-4DE1EC46250B,2012-10-10
0002000165,0001000088,GIRARD EAST QUARTER,CA,SK,02,,5ACBFA19-68C8-4069-B51C-C5EFF9DE7406,2016-03-31
0002000444,0001000238,QUANDT VALLEY SECTION,US,MO,02,,ACCB9E3F-DDD5-49C9-A597-D47735AEDBC8,2021-11-14
0002000139,0001000075,BRENNER HOME HOMESTEAD,CA,SK,02,,03440BBE-8D68-4E33-967B-9ED7DF94FDEC,2014-01-06
0002000299,0001000157,STEINER CREEK GROUND,CA,AB,02,,8C34C96A-ABBC-4EBE-835D-FA9BF203626B,2019-01-08
0002000623,0001000394,BOUDREAU NORTH FARM,US,IA,02,X,18C79756-7D39-4BCC-ABBF-6A15F2C9CAAC,2012-12-14
0002000322,0001000171,STEINER PRAIRIE FARM,US,NE,02,,F84ED549-7A28-4706-B589-4A822A10C5C4,2024-09-24
0002000622,0001000393,MERRIWEATHER PRAIRIE FARM,US,IA,02,X,EBF1C89E-29B4-4C92-8980-3E4F9BA2377B,2017-08-10
0002000476,0001000260,STEINER HILLTOP FARM,CA,SK,02,,E4EB9F79-727D-420F-AA04-9A5B795C49D9,2022-04-17
0002000303,0001000160,RASMUSSEN RIDGE PLACE,US,MO,02,,FAFC6D29-7E3B-4FDA-89E1-ED9DFCE6DE3C,2023-07-24
0002000058,0001000034,DUVAL RIVER GROUND,US,MN,02,,8072512B-1AB0-413D-B5E8-213214223F4F,2018-07-03
0002000614,0001000385,HARTLEY PRAIRIE PLACE,US,IN,02,,C31CFF06-0104-4963-B6D5-8BE25ADBFBD2,2019-09-14
0002000315,0001000168,DRUMMOND RIVER QUARTER,US,MN,02,,66063C37-DAAC-40D0-8B31-1200BEFF05E5,2012-03-06
0002000153,0001000082,LOCKHART SOUTH SECTION,US,IN,02,,7AE7A2EB-9794-40B4-B805-DF62BE9724CB,2022-11-27
0002000543,0001000316,YODER SOUTH GROUND,BR,GO,02,,154C3033-50CC-4D41-81EF-ACB28C80EF11,2021-01-29
0002000101,0001000055,DIETRICH RIVER GROUND,US,OH,02,,703FA83B-4A15-4120-B50B-0260BFACCEA6,2013-11-26
0002000498,0001000282,MARSH HOME PLACE,US,NE,02,,745865F8-1890-4852-A8FC-9F1EDBE0AF19,2020-08-10
0002000466,0001000252,YODER UPPER QUARTER,CA,ON,02,,26CA86C9-9F58-4E8F-969E-C19D56E106FF,2014-07-24
0002000063,0001000036,BERGSTROM LAKE FARM,CA,ON,02,,60261DE3-FDF5-43F6-85EB-FEB9C4B624D9,2012-08-07
0002000077,0001000044,LOCKHART LAKE RANCH,CA,AB,02,,6F8E802A-CF0F-41DE-B2F3-B74B78CC75A3,2015-12-02
0002000608,0001000379,MERRIWEATHER NEW HOMESTEAD,US,IA,02,,B826585D-1C9D-4E1C-9AF7-796DC4732572,2013-03-24
0002000514,0001000297,NORDIN LOWER RANCH,BR,RS,02,,FFE59CBA-A1D6-41DC-8553-0CCD7317BA06,2010-01-15
0002000534,0001000310,NORDIN RIDGE PLACE,BR,RS,02,,693AFDBC-AA3C-4A00-8D06-4FF42D46F256,2011-11-21
0002000106,0001000059,DUVAL UPPER QUARTER,US,ND,02,,DBF6B58E-9520-46D6-A776-653948B1CC73,2014-06-08
0002000603,0001000374,LINDQVIST HOME FARM,US,IN,02,,E7A82DB5-47BB-4877-9A72-77E9B7E7E556,2009-02-10
0002000282,0001000150,JABLONSKI VALLEY SECTION,US,IN,02,,7FD8F1BA-4146-4543-988B-BA6E712AA9C4,2011-03-10
0002000433,0001000233,MERRIWEATHER HILLTOP GROUND,US,OH,02,,7934D169-8699-4779-BE4F-785D142AA182,2018-05-24
0002000160,0001000086,REYES EAST GROUND,US,SD,02,,6FE77668-17CA-45D0-924F-83CBF8814389,2018-06-08
0002000015,0001000010,IVERSON RIVER GROUND,US,NE,02,,9B487167-3618-48A2-9AFF-AEB313D4BE26,2016-08-20
0002000421,0001000226,HOLLOWAY VALLEY FARM,US,IL,02,,9E16E549-DC77-4359-AC74-30DE4033CBAE,2023-10-06
0002000633,0001000404,STEINER HOME FARM,CA,SK,02,,BDD53F87-97F7-495E-80AF-620C6AC27D3F,2013-02-23
0002000563,0001000334,UNDERHILL PRAIRIE FARM,US,SD,02,,7357FF3E-DC2C-42B7-8DC7-7D47E465D006,2022-10-25
0002000425,0001000228,ZIEGLER EAST RANCH,CA,ON,02,,836F165F-18C7-4283-AD5D-957CA517DC8E,2017-05-27
0002000424,0001000227,VANDERMEER LOWER QUARTER,US,ND,02,,1B096FD9-AB7C-4CE4-B54D-091C2E295557,2021-10-03
0002000069,0001000038,WHITAKER NORTH HOMESTEAD,US,OH,02,,868F9527-B7D5-4B9B-9380-B5D36548ECD6,2023-03-07
0002000131,0001000071,EASTMAN VALLEY HOMESTEAD,CA,MB,02,,5A6B4B92-C174-4EA5-8DE4-8EF0A3CC6B3C,2020-03-06
0002000456,0001000246,MCALLISTER OLD PLACE,CA,SK,02,,8B7E8458-ED4E-4904-9235-5B6BBDE99CA9,2023-07-11
0002000423,0001000226,HOLLOWAY NORTH QUARTER,US,IL,02,,7C467F00-474A-48AE-A769-8F58A53E75D0,2014-02-23
0002000275,0001000147,NOVAK SOUTH SECTION,US,MO,02,,9E2F7973-D99C-4E7D-A460-07868E080C64,2023-06-10
0002000573,0001000344,ASHWORTH HOME GROUND,US,NE,02,,E6A1C461-1F95-4122-A09B-49AF8922677F,2009-05-19
0002000402,0001000215,FALKNER CREEK HOMESTEAD,US,SD,02,,F4620697-754B-4DD4-A465-0C4A93A269C0,2009-10-18
0002000104,0001000057,REYES NORTH QUARTER,US,OH,02,,1E010411-09C0-4152-ABF1-AECCD17DD927,2012-11-16
0002000124,0001000067,FERREIRA LOWER RANCH,US,SD,02,,87EFFA49-7AE2-4284-AC1A-6ACC5CD89416,2009-12-13
0002000017,0001000011,KOWALSKI PRAIRIE PLACE,US,ND,02,,4456A691-003D-4268-AA03-D5471E8ACB81,2020-04-20
0002000384,0001000204,GIRARD PRAIRIE QUARTER,US,IL,02,,D3986E39-13EF-46F6-9C92-7C725F5B2732,2020-12-20
